Timestamp,Email address,Score,Name,IITP webmail,Phone (10 digit only),Roll Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2021 14:10,dsdeeptishakya777@pick.com,140 / 140,Deepti Shakya,deepti_1921211cs14@iitp.ac.in,8377094336,ANSWER,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D
07-08-2021 12:18,ellen_booth4939@atink.com,55 / 140,Ellen Booth,ellen_booth9706@iitp.ac.in,7785862435,1401ME61,Option A,Option D,Option B,Option C,Option B,Option B,Option A,Option B,,Option C,Option C,Option B,Option B,Option B,Option B,Option D,Option C,Option D,Option C,Option B,Option D,Option B,Option B,Option C,Option B,Option A,Option A,Option B
07-08-2021 12:18,rachael_selby9175@acrit.org,100 / 140,Rachael Selby,rachael_selby7861@iitp.ac.in,9984503025,1401CS40,Option A,Option D,Option B,Option C,Option B,Option C,Option A,Option D,Option B,Option A,Option C,Option C,Option D,Option D,Option B,Option B,Option C,Option D,Option D,Option B,Option A,Option B,Option A,Option D,Option B,Option A,Option C,Option D
07-08-2021 12:19,rowan_knott5318@deons.tech,25 / 140,Rowan Knott,rowan_knott132@iitp.ac.in,9799319607,1401EE17,Option A,,Option C,,,Option D,Option D,,,,Option A,,Option C,,Option A,Option A,Option C,Option C,,Option C,Option B,Option A,Option B,Option B,,Option A,,Option A
07-08-2021 12:19,abdul_rowe197@muall.tech,40 / 140,Abdul Rowe,abdul_rowe997@iitp.ac.in,9131454766,1401ME10,Option D,Option D,Option B,Option D,Option B,Option B,Option D,,,Option A,Option B,,Option D,Option C,Option A,,,Option D,Option C,Option B,Option B,,Option B,,Option C,Option C,Option B,Option D
07-08-2021 12:19,henry_spencer7982@dionrab.com,45 / 140,Henry Spencer,henry_spencer2064@iitp.ac.in,7378293221,1401ME69,Option A,Option D,Option B,Option C,,Option D,Option D,Option C,,Option D,Option B,Option D,Option C,Option C,Option B,Option A,Option B,Option D,,,,Option B,,Option C,,Option A,Option B,Option D
07-08-2021 12:19,livia_ianson9590@famism.biz,100 / 140,Livia Ianson,livia_ianson3962@iitp.ac.in,9518769455,1401CS31,Option D,Option D,Option B,Option C,Option B,Option C,Option D,,Option A,Option A,Option C,Option A,Option D,Option D,Option D,Option C,Option C,Option D,Option B,Option B,Option A,Option B,Option A,Option D,Option B,Option C,Option C,Option D
07-08-2021 12:19,charlize_driscoll1025@corti.com,90 / 140,Charlize Driscoll,charlize_driscoll3045@iitp.ac.in,6304699592,1401CS15,Option A,,,Option C,,Option C,Option D,Option D,,,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,,,,Option A,Option A,Option D,Option B,Option A,Option C,Option B
07-08-2021 12:19,danielle_ellison9701@dionrab.com,35 / 140,Danielle Ellison,danielle_ellison1492@iitp.ac.in,8171611219,1401EE32,Option D,Option D,Option A,Option C,Option A,Option C,,,,Option B,Option A,Option A,,,,Option A,Option C,Option D,Option A,Option C,Option B,,Option A,,Option A,,,Option B
07-08-2021 12:19,chadwick_john5137@zorer.org,105 / 140,Chadwick John,chadwick_john1030@iitp.ac.in,8922824586,1401CE04,Option A,,Option B,Option C,,Option C,Option D,Option D,,Option A,Option C,Option A,Option D,,Option B,,Option C,Option D,Option B,Option D,Option A,,Option A,Option D,Option D,Option A,Option C,Option B
07-08-2021 12:20,gil_carter2776@gompie.com,90 / 140,Gil Carter,gil_carter3805@iitp.ac.in,9321640810,1401CS68,Option D,Option D,Option B,Option C,Option B,Option B,Option A,,,Option A,Option C,Option A,Option D,Option D,Option B,Option C,Option C,Option D,Option B,,Option A,Option A,Option B,Option D,Option A,Option C,Option C,Option D
07-08-2021 12:20,daphne_speed306@vetan.org,130 / 140,Daphne Speed,daphne_speed3415@iitp.ac.in,9783460636,1401CE61,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option B,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option A,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D
07-08-2021 12:20,caydence_camden1581@naiker.biz,20 / 140,Caydence Camden,caydence_camden8370@iitp.ac.in,9569921982,1401ME80,,,,,,,,,,,,,Option D,,Option B,,,,,,,,,Option D,,Option A,,
07-08-2021 12:20,elijah_sloan9903@famism.biz,45 / 140,Elijah Sloan,elijah_sloan1477@iitp.ac.in,9369060898,1401ME83,,Option D,,,Option D,,Option D,Option D,,,Option C,Option B,Option B,,,Option B,Option C,Option D,Option C,Option D,,Option B,,Option D,Option A,Option C,,Option D
07-08-2021 12:20,madison_parsons1820@twipet.com,60 / 140,Madison Parsons,madison_parsons5146@iitp.ac.in,7903619453,1401ME52,Option C,Option B,Option B,Option B,Option B,Option B,Option A,Option D,Option B,Option B,Option C,Option D,Option B,Option D,Option B,Option B,Option D,Option A,Option B,Option B,Option A,Option B,Option A,Option D,Option B,Option A,Option A,Option D
07-08-2021 12:20,gil_savage9073@bungar.biz,100 / 140,Gil Savage,gil_savage2177@iitp.ac.in,9809925873,1401EE58,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,,Option B,Option D,Option D,Option D,,Option B,Option D,Option C,Option D,,Option D,,Option A,Option A,Option D,Option D,Option A,,Option D
07-08-2021 12:20,vicky_stubbs4593@typill.biz,25 / 140,Vicky Stubbs,vicky_stubbs5534@iitp.ac.in,8235880406,1401EE56,Option D,,,Option C,,,Option C,Option B,,,Option D,Option A,,,,,,Option D,,Option B,,Option B,Option A,Option D,,,,
07-08-2021 12:20,gemma_murray759@jiman.org,105 / 140,Gemma Murray,gemma_murray2055@iitp.ac.in,7497080070,1401ME07,Option A,Option D,Option B,Option C,,Option C,Option D,,Option A,Option A,Option C,Option A,Option B,Option D,Option B,Option D,Option C,,,Option D,Option A,,Option A,Option D,Option D,Option A,Option C,
07-08-2021 12:20,mark_cann5224@liret.org,95 / 140,Mark Cann,mark_cann3732@iitp.ac.in,7828975562,1401CS63,,,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option B,,,Option D,Option C,Option D,,,Option A,Option A,Option A,Option D,Option D,Option A,Option A,
